Month,bleached coral: (Worldwide),bleached reef: (Worldwide),reef bleaching: (Worldwide),coral reef bleaching: (Worldwide),coral bleaching: (Worldwide),bleached coral reefs: (Worldwide),coral reef bleached: (Worldwide),what is coral bleaching: (Worldwide),what causes coral bleaching: (Worldwide),coral bleaching effects: (Worldwide),coral bleaching facts: (Worldwide),coral bleaching and global warming: (Worldwide),coral bleaching and climate change: (Worldwide)
2004-01,21,0,30,36,51,0,0,0,0,0,0,0,0
2004-02,21,0,37,36,44,0,0,44,0,0,0,0,0
2004-03,78,0,100,100,100,100,100,0,0,100,0,100,0
2004-04,0,0,35,17,45,0,0,42,0,39,0,0,77
2004-05,17,0,66,59,55,0,0,37,0,34,100,66,0
2004-06,17,0,30,30,28,0,0,0,0,0,0,0,0
2004-07,0,100,19,23,26,0,70,39,0,0,0,0,0
2004-08,17,0,82,51,38,0,0,36,0,0,0,0,0
2004-09,15,0,44,40,25,60,0,33,0,0,0,0,0
2004-10,0,0,78,61,54,0,0,0,0,31,0,0,0
2004-11,48,0,56,54,61,62,62,100,0,31,0,0,0
2004-12,0,0,41,38,54,0,0,31,0,28,0,57,57
2005-01,13,0,14,17,41,50,0,0,0,25,0,50,100
2005-02,14,0,14,17,44,52,0,57,0,0,0,52,0
2005-03,23,0,36,49,33,0,44,24,0,0,0,0,44
2005-04,13,0,77,72,58,0,50,54,0,0,0,0,0
2005-05,11,0,35,14,43,0,0,0,0,22,65,0,0
2005-06,11,62,28,19,27,0,0,24,0,22,0,0,0
2005-07,0,0,24,15,22,0,0,0,0,22,0,0,0
2005-08,0,0,27,28,14,0,0,0,0,21,0,42,0
2005-09,10,55,25,21,39,39,38,21,0,19,0,0,0
2005-10,0,0,37,45,50,0,0,20,0,18,0,0,0
2005-11,9,52,20,32,54,0,0,60,89,18,0,36,0
2005-12,18,0,10,27,22,0,0,19,0,18,0,0,36
2006-01,8,0,20,28,27,0,0,0,0,16,0,0,0
2006-02,8,0,50,39,42,0,0,27,79,49,0,0,0
2006-03,14,39,42,55,61,0,28,37,0,34,41,27,27
2006-04,8,0,46,47,82,0,0,33,0,30,45,30,0
2006-05,11,0,40,45,57,27,27,37,67,14,0,0,0
2006-06,11,41,10,22,23,29,29,0,0,14,0,28,0
2006-07,0,0,16,19,17,0,0,16,0,0,43,0,0
2006-08,0,0,19,6,32,0,0,29,0,0,0,0,0
2006-09,6,37,28,28,32,0,26,0,0,13,0,0,26
2006-10,12,33,25,23,39,0,23,38,57,23,0,23,23
2006-11,9,0,45,42,60,0,0,75,0,11,0,45,0
2006-12,6,0,17,21,20,0,23,13,0,23,0,47,23
2007-01,5,29,24,20,29,0,20,11,100,10,0,0,0
2007-02,6,30,23,28,56,0,0,18,0,11,0,21,0
2007-03,12,40,37,43,41,37,0,41,46,37,0,56,19
2007-04,18,56,41,54,52,0,19,43,48,29,0,39,0
2007-05,11,24,50,60,64,50,0,32,41,17,25,25,0
2007-06,5,25,13,21,28,0,0,14,0,9,0,17,0
2007-07,4,24,6,7,22,0,17,9,0,13,0,0,17
2007-08,8,0,21,25,34,0,0,18,0,24,0,16,0
2007-09,6,22,16,19,33,0,0,13,0,0,0,32,0
2007-10,4,20,27,35,29,0,0,23,0,0,0,28,0
2007-11,7,59,27,35,39,14,41,19,0,17,0,14,28
2007-12,15,21,19,20,30,59,0,12,37,7,0,0,0
2008-01,7,18,16,17,27,13,13,7,0,13,0,13,0
2008-02,5,28,25,22,31,0,0,14,0,7,0,13,0
2008-03,6,0,19,35,44,0,12,7,31,9,0,37,12
2008-04,3,18,38,33,43,12,12,20,30,15,18,12,0
2008-05,11,17,33,51,57,36,24,10,30,12,36,12,12
2008-06,8,0,17,18,20,12,19,27,30,12,19,0,0
2008-07,5,0,14,21,23,0,12,13,0,0,0,0,12
2008-08,5,17,11,16,25,0,12,10,60,0,18,0,0
2008-09,6,16,22,24,32,11,34,9,28,11,17,0,0
2008-10,5,14,25,35,44,10,15,25,25,15,0,10,10
2008-11,6,15,31,34,44,11,11,29,26,8,32,11,0
2008-12,8,15,21,20,23,16,0,15,26,8,16,11,0
2009-01,5,14,18,18,18,10,0,5,24,10,15,10,0
2009-02,12,15,26,26,33,10,10,22,50,13,15,10,0
2009-03,9,39,35,31,38,0,9,25,22,9,20,18,18
2009-04,5,27,30,30,42,0,38,21,23,12,42,14,9
2009-05,6,38,28,36,40,9,27,25,22,11,14,9,9
2009-06,9,25,18,22,26,9,9,7,22,9,26,9,9
2009-07,6,13,10,12,13,0,9,7,0,4,0,9,0
2009-08,3,13,16,24,25,0,18,15,22,4,0,0,18
2009-09,2,12,20,24,24,0,0,18,20,6,0,8,8
2009-10,5,11,28,28,33,15,8,34,19,12,12,8,8
2009-11,10,11,32,41,43,16,8,32,29,12,29,23,0
2009-12,12,22,16,16,25,0,8,17,38,6,18,8,8
2010-01,4,10,16,18,20,0,11,6,18,11,11,7,7
2010-02,5,11,16,19,29,23,8,6,38,10,11,11,8
2010-03,11,15,29,28,40,24,10,24,33,5,15,14,14
2010-04,4,20,30,29,35,11,14,12,44,16,22,14,0
2010-05,15,15,25,28,37,14,18,37,17,18,16,14,14
2010-06,6,0,18,14,23,0,0,12,35,5,16,0,0
2010-07,3,0,7,7,19,0,0,4,17,3,10,10,7
2010-08,5,9,13,13,26,7,0,16,40,5,0,0,7
2010-09,7,27,23,26,31,0,12,15,31,13,9,6,6
2010-10,5,17,29,22,35,6,6,21,29,15,18,15,6
2010-11,6,17,22,19,33,12,6,8,36,7,9,17,9
2010-12,8,8,11,16,23,6,6,16,22,4,0,6,0
2011-01,9,31,14,16,24,8,5,19,27,7,12,0,0
2011-02,7,16,14,15,20,9,23,16,28,4,9,8,0
2011-03,4,22,27,32,35,15,5,18,56,12,8,10,5
2011-04,7,8,17,16,27,0,11,31,61,14,12,0,5
2011-05,8,11,30,28,31,8,10,22,19,8,19,5,0
2011-06,3,15,8,10,15,5,0,13,13,8,12,10,5
2011-07,3,11,7,6,11,8,8,6,13,4,8,5,15
2011-08,3,7,10,12,16,0,7,7,18,2,7,0,10
2011-09,4,7,14,15,20,10,5,12,23,2,7,0,14
2011-10,8,13,20,23,26,7,4,20,28,10,20,4,5
2011-11,7,6,14,17,29,7,9,26,17,11,7,5,5
2011-12,5,6,12,10,15,5,0,9,33,8,13,9,5
2012-01,5,9,11,13,20,8,4,7,36,3,32,0,4
2012-02,5,9,13,15,29,6,4,25,53,10,6,4,4
2012-03,4,12,18,13,25,6,8,22,25,13,24,4,4
2012-04,5,6,16,21,30,4,4,24,31,10,6,6,4
2012-05,6,8,20,23,29,0,4,29,10,6,12,0,8
2012-06,2,0,10,7,17,8,4,11,30,6,0,0,0
2012-07,3,0,6,6,12,0,0,5,10,2,0,12,4
2012-08,8,6,9,11,14,0,8,12,0,3,0,0,0
2012-09,3,23,13,14,20,6,8,17,49,2,6,4,0
2012-10,4,10,19,23,29,5,4,30,18,11,11,4,5
2012-11,5,8,20,23,35,7,4,39,27,6,22,11,7
2012-12,4,8,9,9,19,4,4,19,18,6,8,7,5
2013-01,3,0,11,10,18,3,3,20,25,6,0,3,3
2013-02,9,8,14,16,23,5,9,36,62,8,11,7,5
2013-03,8,12,19,19,29,10,6,30,40,9,5,5,3
2013-04,9,7,15,22,31,7,5,29,16,10,12,3,8
2013-05,9,7,18,22,29,10,3,33,47,10,10,3,3
2013-06,4,5,11,12,17,3,3,12,12,3,12,3,3
2013-07,2,0,6,6,10,0,3,11,8,5,5,0,10
2013-08,5,16,11,11,16,5,5,13,16,9,12,0,0
2013-09,5,9,13,14,21,6,3,16,19,4,5,3,3
2013-10,5,15,17,16,29,8,6,24,22,11,18,6,8
2013-11,8,11,15,16,29,9,6,30,34,10,18,5,0
2013-12,5,4,9,12,17,5,3,17,26,4,9,0,8
2014-01,6,14,9,8,15,7,7,15,24,4,4,3,0
2014-02,4,0,15,19,25,3,6,26,50,11,9,9,3
2014-03,6,12,19,19,29,10,4,36,31,10,8,3,3
2014-04,7,12,18,19,26,7,9,32,32,11,13,3,7
2014-05,10,21,23,23,26,9,9,29,28,10,17,6,4
2014-06,6,5,9,11,17,6,3,11,12,6,10,0,6
2014-07,6,7,6,7,12,0,3,3,16,5,0,3,6
2014-08,5,4,9,12,12,0,6,11,0,7,9,5,6
2014-09,6,9,9,11,21,0,3,18,19,9,7,9,5
2014-10,6,14,15,19,26,4,7,23,42,9,9,4,17
2014-11,5,15,16,20,26,6,7,29,18,13,13,3,6
2014-12,6,10,15,13,23,7,10,20,18,4,9,6,6
2015-01,5,8,9,10,16,3,7,13,20,3,6,3,8
2015-02,5,15,18,19,23,9,6,24,47,8,7,3,7
2015-03,9,11,14,17,24,3,9,28,33,4,20,8,3
2015-04,7,24,13,17,26,14,8,34,14,8,12,7,7
2015-05,6,13,20,20,28,8,9,36,33,8,12,9,4
2015-06,5,12,9,11,16,3,5,13,23,6,8,3,3
2015-07,2,8,6,6,13,3,3,8,20,4,4,3,0
2015-08,3,4,6,7,12,3,0,8,6,1,6,4,3
2015-09,6,5,11,11,19,5,10,18,6,4,12,3,3
2015-10,12,21,23,22,43,9,12,37,39,10,18,6,7
2015-11,8,14,16,21,35,8,6,42,50,6,11,8,13
2015-12,8,5,11,12,26,4,5,25,28,6,8,3,4
2016-01,4,7,8,10,15,3,3,13,13,6,4,0,3
2016-02,7,8,13,15,28,7,5,24,40,8,0,5,12
2016-03,10,18,40,28,50,10,5,24,47,11,17,0,11
2016-04,24,80,82,61,75,20,17,53,61,13,22,6,12
2016-05,19,64,68,53,69,15,29,50,47,13,23,5,14
2016-06,11,15,48,31,43,5,9,32,46,5,24,7,11
2016-07,7,14,23,23,22,6,5,15,27,3,8,3,5
2016-08,11,22,30,22,31,6,13,16,17,3,13,4,6
2016-09,8,21,32,27,34,3,9,25,27,3,8,11,7
2016-10,17,56,98,82,66,8,14,78,77,10,12,9,6
2016-11,15,52,49,48,58,9,23,55,67,10,29,0,13
2016-12,11,22,36,32,41,10,14,44,62,5,15,8,8
2017-01,11,19,26,26,33,5,8,23,33,5,11,6,6
2017-02,11,28,38,32,47,11,9,52,77,14,20,12,13
2017-03,19,59,63,52,67,14,25,58,76,18,17,9,13
2017-04,23,87,70,62,72,17,31,78,70,13,22,12,12
2017-05,20,38,58,53,63,24,32,56,72,16,33,6,6
2017-06,12,28,36,30,35,9,15,24,51,8,19,4,8
2017-07,14,25,39,32,38,5,11,24,47,6,11,3,3
2017-08,10,33,34,30,33,5,17,22,18,4,26,4,5
2017-09,9,37,36,33,42,5,10,44,37,9,21,2,5
2017-10,11,42,37,35,50,5,11,54,69,14,14,7,8
2017-11,15,56,45,48,57,19,24,60,70,8,25,5,8
2017-12,14,31,32,28,39,13,13,33,44,8,7,10,8
2018-01,13,27,30,26,39,9,11,30,30,10,15,4,7
2018-02,15,23,38,42,49,10,13,54,78,10,17,10,14
2018-03,26,28,41,35,54,9,16,48,68,14,23,8,5
2018-04,100,38,44,45,65,12,21,57,43,18,31,8,8
2018-05,37,40,49,52,64,15,20,70,97,17,25,9,15
2018-06,18,16,22,26,33,8,14,33,28,8,12,5,5
2018-07,18,21,16,17,23,2,10,12,19,3,10,0,3
2018-08,20,32,31,26,34,2,9,30,38,6,18,2,8
2018-09,18,27,33,36,45,8,16,42,50,7,24,2,7
2018-10,12,30,32,32,57,0,34,53,93,11,19,0,51
