Month,great barrier reef damage: (Worldwide),great barrier reef climate change: (Worldwide),great barrier reef death: (Worldwide),great barrier reef dead: (Worldwide),the great barrier reef dead: (Worldwide),how dead is the great barrier reef: (Worldwide),how much of the great barrier reef is dead: (Worldwide),the great barrier reef is dead: (Worldwide),why is the great barrier reef dead: (Worldwide),is the great barrier reef really dead: (Worldwide),great barrier reef dying: (Worldwide),the great barrier reef dying: (Worldwide),why is the great barrier reef dying: (Worldwide),the great barrier reef is dying: (Worldwide),is great barrier reef dying: (Worldwide),great barrier reef ocean acidification: (Worldwide),great barrier reef global warming: (Worldwide),death of the great barrier reef: (Worldwide),great coral reef dead: (Worldwide),the great coral reef dead: (Worldwide),great barrier reef dead coral: (Worldwide)
2004-01,64,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02,63,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2004-03,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,62,0,0,0,0
2004-04,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
2004-05,78,61,39,0,0,0,0,0,0,0,25,0,0,0,0,0,83,0,0,0,0
2004-06,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0
2004-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-08,51,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0
2004-09,47,0,70,1,0,94,0,7,0,0,0,0,0,0,0,0,75,0,0,0,0
2004-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,46,0,0
2004-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0
2004-12,0,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-01,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-02,41,0,31,0,0,0,0,0,0,0,20,36,0,0,0,0,65,100,0,0,0
2005-03,34,40,0,0,0,0,0,0,0,0,0,0,0,0,36,0,27,0,0,0,0
2005-04,0,0,29,1,4,0,0,0,0,0,19,34,0,0,0,0,31,94,0,0,0
2005-05,34,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
2005-06,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,27,83,0,0,0
2005-07,52,41,26,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
2005-08,100,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
2005-09,45,0,23,0,3,0,0,0,100,0,0,0,0,0,0,0,0,74,0,0,0
2005-10,72,34,32,0,0,0,0,0,0,0,14,0,0,0,0,0,23,0,0,0,0
2005-11,28,100,21,1,3,0,0,0,0,0,14,0,0,34,30,0,34,69,0,0,0
2005-12,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
2006-01,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,19,60,0,0,28
2006-02,50,0,0,0,0,0,0,0,0,0,12,22,61,0,0,0,20,0,0,0,0
2006-03,32,0,16,0,0,0,0,0,0,0,10,0,0,0,0,0,34,0,0,0,0
2006-04,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0
2006-05,21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
2006-06,22,0,33,1,2,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
2006-07,67,26,0,1,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
2006-08,21,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
2006-09,0,23,59,1,2,0,0,0,0,0,0,17,48,0,21,0,32,49,0,62,0
2006-10,18,74,14,1,2,0,0,0,0,0,9,16,0,0,0,0,22,0,17,0,21
2006-11,18,0,0,<1,0,0,0,0,0,0,8,15,0,0,0,0,84,0,17,0,20
2006-12,18,21,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01,16,37,0,<1,0,0,0,0,0,0,8,0,0,0,0,0,13,0,0,0,0
2007-02,33,19,0,0,0,0,0,0,0,0,12,0,0,0,0,0,40,0,0,0,0
2007-03,14,68,16,<1,0,0,0,0,0,0,7,0,0,0,0,0,17,35,0,0,0
2007-04,15,27,0,0,2,0,0,0,0,0,7,13,37,0,16,0,73,0,0,0,0
2007-05,46,38,0,0,0,0,0,0,0,0,6,12,32,31,28,0,41,32,0,0,0
2007-06,14,32,0,0,3,0,0,0,0,0,13,12,100,49,14,0,27,0,13,0,0
2007-07,13,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,13,0,0
2007-08,19,15,9,1,0,0,0,0,0,0,12,17,31,15,13,0,20,0,0,40,0
2007-09,0,94,9,<1,0,0,0,0,0,0,6,0,0,0,0,0,24,30,0,0,0
2007-10,33,45,17,<1,1,0,0,2,0,0,0,0,0,0,12,74,22,40,10,0,13
2007-11,11,25,8,0,0,0,0,0,0,0,0,9,0,0,0,0,30,0,0,0,0
2007-12,34,27,9,<1,0,0,0,0,0,0,0,0,0,0,0,76,18,0,0,0,0
2008-01,10,0,8,<1,1,20,0,0,0,0,10,0,0,0,11,0,0,0,0,0,0
2008-02,16,18,12,<1,0,0,0,2,0,0,0,0,0,0,0,0,20,25,0,0,0
2008-03,10,34,0,<1,0,0,0,0,0,0,0,0,0,0,0,65,19,0,0,0,0
2008-04,19,28,7,0,0,0,0,0,0,0,5,0,0,0,10,0,15,0,9,31,0
2008-05,19,39,0,<1,0,0,0,0,0,0,5,0,0,0,0,0,26,0,9,0,0
2008-06,0,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
2008-07,19,17,11,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,11
2008-08,10,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
2008-09,0,36,7,<1,0,18,0,1,29,0,4,0,0,0,0,0,21,0,0,0,0
2008-10,0,33,9,<1,1,0,0,0,0,0,4,7,0,9,0,0,35,0,8,25,0
2008-11,25,44,9,1,1,0,0,0,0,0,4,0,0,0,9,0,33,20,0,0,10
2008-12,8,10,9,<1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
2009-01,8,13,0,<1,1,0,0,0,0,0,7,13,18,9,8,0,18,0,0,0,9
2009-02,8,9,12,<1,0,0,0,0,0,0,4,0,0,0,17,0,13,0,0,0,0
2009-03,11,12,5,<1,0,14,0,0,0,0,3,9,0,0,0,47,14,17,13,22,8
2009-04,7,26,11,<1,1,15,0,0,24,0,3,6,18,9,8,49,20,0,7,23,8
2009-05,14,41,10,<1,1,0,0,1,0,0,10,6,17,17,7,70,25,0,0,22,8
2009-06,10,20,5,<1,1,0,0,0,0,0,3,6,0,0,0,0,11,0,7,22,16
2009-07,0,16,0,<1,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0
2009-08,10,8,10,<1,0,0,0,0,0,0,0,6,0,8,0,0,22,0,0,0,0
2009-09,6,42,5,<1,1,13,0,1,0,0,6,6,16,15,14,87,33,16,6,21,0
2009-10,15,46,9,<1,1,12,0,1,0,0,6,5,0,7,6,0,39,0,6,0,0
2009-11,6,29,9,<1,0,0,0,0,0,0,0,5,0,7,0,41,22,22,0,0,0
2009-12,6,18,9,<1,1,0,0,0,0,0,3,0,0,0,0,0,7,0,6,19,0
2010-01,6,7,4,<1,1,0,0,0,0,0,0,10,0,0,0,76,11,0,0,0,0
2010-02,9,24,4,<1,1,0,0,0,0,0,6,0,0,0,0,80,17,0,6,19,10
2010-03,8,22,8,<1,1,0,0,1,18,0,3,5,13,6,6,0,23,0,5,17,6
2010-04,20,13,15,<1,2,11,0,1,0,0,3,7,14,0,6,38,11,0,5,18,6
2010-05,19,33,15,<1,1,0,0,1,18,0,0,5,0,0,0,37,33,13,0,0,0
2010-06,11,33,6,<1,1,0,0,1,18,0,3,5,0,7,6,37,22,0,0,0,0
2010-07,5,12,0,0,1,0,0,0,0,0,3,0,0,0,6,35,10,0,0,0,0
2010-08,15,24,8,<1,1,0,0,1,17,0,5,4,0,6,5,0,14,12,0,0,0
2010-09,5,11,15,<1,1,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0
2010-10,5,38,10,<1,1,9,0,1,15,0,2,0,0,0,0,31,17,11,0,15,5
2010-11,5,35,3,<1,1,18,0,0,0,0,0,0,0,0,0,0,16,0,13,0,11
2010-12,5,11,7,<1,0,0,0,0,0,0,2,0,0,5,5,0,5,0,0,0,0
2011-01,13,7,5,<1,1,0,0,1,0,0,2,0,0,0,0,0,8,0,0,0,0
2011-02,9,18,5,<1,<1,0,0,1,0,0,2,4,11,0,5,30,5,0,0,14,5
2011-03,10,26,7,<1,2,8,0,0,0,0,3,7,0,14,13,26,16,10,8,13,5
2011-04,4,18,6,<1,<1,0,0,1,0,0,3,4,0,5,0,0,7,10,6,0,0
2011-05,18,21,3,1,2,0,0,1,0,0,4,5,10,5,0,27,14,0,4,13,5
2011-06,6,10,3,<1,1,0,0,1,0,0,3,4,20,5,4,0,5,0,4,13,0
2011-07,4,5,6,<1,1,8,0,1,0,0,2,4,0,0,0,0,3,0,0,0,0
2011-08,12,23,3,<1,1,0,0,1,0,0,0,0,9,0,0,0,6,19,0,0,0
2011-09,7,17,10,<1,<1,0,0,0,0,0,4,3,9,4,4,37,12,0,4,12,0
2011-10,16,21,4,1,0,0,0,0,0,0,3,3,9,4,4,0,10,0,3,11,8
2011-11,9,17,4,1,<1,0,0,0,0,0,3,3,0,0,0,24,14,17,3,0,4
2011-12,4,8,3,<1,1,0,0,1,0,0,4,5,9,4,4,24,8,9,0,0,0
2012-01,15,6,4,<1,1,0,0,1,0,0,3,3,0,8,3,33,6,8,0,0,4
2012-02,3,16,9,<1,<1,7,0,1,0,0,2,0,0,0,0,22,12,0,0,0,4
2012-03,8,26,7,<1,<1,0,0,0,0,0,3,0,0,0,0,42,6,19,0,0,0
2012-04,11,19,2,<1,0,0,0,<1,0,0,3,3,8,4,3,0,9,0,3,10,0
2012-05,3,25,5,<1,0,0,0,0,0,0,3,5,7,4,3,42,9,11,0,0,0
2012-06,8,15,0,<1,1,0,0,0,0,0,2,0,0,0,0,21,11,0,0,0,0
2012-07,0,7,0,<1,<1,0,0,0,0,0,2,3,8,0,0,42,7,8,0,0,0
2012-08,5,15,7,<1,0,0,0,0,0,0,1,3,11,0,3,41,2,15,3,0,4
2012-09,6,26,9,<1,<1,0,0,0,0,0,4,4,0,11,3,21,7,8,3,0,0
2012-10,10,20,8,<1,1,0,0,<1,0,0,3,6,0,5,4,28,12,0,3,9,0
2012-11,9,37,9,<1,1,6,0,0,0,0,4,10,7,3,3,0,19,7,3,0,0
2012-12,6,7,2,<1,1,0,0,<1,0,0,1,2,0,3,3,0,6,0,0,0,0
2013-01,3,8,4,<1,1,0,0,0,0,0,1,3,6,3,3,0,3,0,5,8,3
2013-02,6,13,2,<1,1,6,0,0,0,0,2,2,0,3,9,0,4,0,0,9,0
2013-03,8,28,4,<1,1,0,0,<1,0,0,5,7,6,5,4,34,12,6,0,0,0
2013-04,6,9,5,<1,<1,0,0,<1,0,0,4,7,9,5,5,17,6,0,2,0,3
2013-05,17,31,4,<1,<1,10,0,1,8,0,5,3,9,3,6,50,12,12,2,8,3
2013-06,4,11,3,<1,<1,0,0,0,0,0,2,5,6,5,3,17,8,6,2,0,3
2013-07,9,9,5,<1,<1,0,0,<1,8,0,1,2,6,3,5,17,5,0,0,8,3
2013-08,4,21,4,<1,<1,0,0,<1,0,0,3,2,0,3,0,17,9,6,0,8,0
2013-09,15,24,8,<1,1,0,0,1,8,0,4,4,6,4,4,65,14,6,0,0,0
2013-10,9,37,8,<1,<1,0,0,<1,0,0,4,2,6,7,5,63,12,6,2,0,3
2013-11,13,29,4,<1,<1,0,0,<1,0,0,4,7,6,6,2,32,6,12,2,0,3
2013-12,4,11,2,<1,1,5,0,<1,8,0,1,0,6,0,2,16,7,6,0,8,3
2014-01,3,9,4,<1,<1,0,0,0,0,0,3,4,0,3,2,29,6,5,2,7,3
2014-02,4,27,4,<1,<1,0,0,1,0,0,3,6,0,9,5,32,5,0,0,8,3
2014-03,8,22,5,<1,1,4,10,1,0,0,4,4,5,8,6,29,13,10,4,7,5
2014-04,8,33,4,<1,0,0,0,0,0,0,4,2,16,4,2,30,9,5,0,0,0
2014-05,9,24,3,<1,1,5,0,<1,0,0,5,5,5,4,7,30,12,0,4,7,6
2014-06,11,22,3,<1,0,10,0,<1,8,0,2,5,0,0,4,50,7,6,2,8,0
2014-07,9,9,3,<1,0,0,0,0,0,0,4,2,0,0,0,16,5,6,0,0,0
2014-08,6,40,7,<1,1,0,0,<1,8,0,2,3,0,0,3,33,5,12,5,0,6
2014-09,9,41,5,<1,<1,0,0,0,0,0,2,2,0,3,2,31,7,6,0,7,0
2014-10,15,40,5,<1,1,0,0,<1,0,0,3,2,0,5,4,52,10,5,3,7,3
2014-11,10,55,5,<1,<1,0,0,0,0,0,3,2,0,4,5,100,15,6,2,0,0
2014-12,3,17,3,<1,<1,0,0,0,0,0,1,0,0,3,2,15,2,5,4,0,0
2015-01,6,10,4,<1,<1,0,0,0,0,0,2,2,10,2,2,21,4,0,4,0,2
2015-02,7,19,11,<1,<1,0,0,<1,0,0,2,4,0,0,2,15,8,0,2,0,3
2015-03,10,41,9,<1,<1,4,0,<1,0,0,2,2,5,2,3,62,12,5,2,7,0
2015-04,4,20,5,<1,1,4,0,<1,0,0,2,3,10,5,3,22,8,5,2,7,5
2015-05,11,34,7,<1,1,0,0,1,0,0,4,9,13,6,5,55,10,5,2,7,5
2015-06,13,31,5,<1,1,0,0,1,0,0,4,6,8,5,8,21,14,5,2,0,0
2015-07,7,13,3,<1,1,0,0,<1,0,0,3,4,5,5,5,21,5,0,4,0,2
2015-08,4,32,2,<1,<1,0,0,1,0,0,3,3,5,2,5,41,7,5,2,6,0
2015-09,6,33,4,<1,<1,0,0,0,0,0,2,3,5,2,4,33,10,5,2,0,2
2015-10,5,43,3,<1,1,0,0,<1,0,0,2,4,7,3,3,25,6,0,2,6,3
2015-11,15,44,3,<1,1,0,0,<1,0,0,4,2,5,2,4,40,9,5,2,6,5
2015-12,2,16,3,<1,<1,0,0,0,0,0,2,3,10,6,4,40,8,10,2,0,2
2016-01,2,13,4,<1,<1,0,0,<1,0,0,1,3,0,7,2,0,5,0,2,6,2
2016-02,3,20,6,<1,1,0,0,1,0,0,4,3,5,0,0,35,6,5,3,0,4
2016-03,8,51,7,<1,1,0,0,<1,0,0,10,2,5,8,8,46,11,14,3,13,2
2016-04,18,40,11,<1,1,8,10,<1,0,0,17,14,5,12,15,48,17,5,2,13,9
2016-05,9,75,7,<1,1,4,0,<1,0,0,14,15,15,14,13,40,16,15,2,0,0
2016-06,5,49,7,<1,1,4,10,1,0,0,9,11,15,12,8,28,12,15,7,20,7
2016-07,5,20,3,<1,1,9,10,<1,0,0,8,8,8,6,8,14,5,5,2,7,0
2016-08,8,48,4,<1,<1,4,20,<1,7,0,3,8,16,16,6,29,15,5,3,17,6
2016-09,13,45,6,<1,1,17,0,<1,0,0,8,11,10,15,8,28,16,5,4,20,7
2016-10,10,75,100,100,100,100,100,100,87,100,100,100,89,100,100,61,39,82,100,100,100
2016-11,8,65,46,9,15,20,19,11,10,51,49,31,32,29,36,74,23,47,33,67,36
2016-12,6,27,18,5,8,14,14,6,10,45,28,28,12,23,21,20,12,22,21,41,16
2017-01,4,29,11,4,7,17,18,4,6,33,24,23,12,22,21,32,8,7,14,39,15
2017-02,10,37,13,5,11,31,19,6,10,35,35,34,40,36,36,54,14,5,11,29,15
2017-03,10,71,15,14,19,25,34,17,6,7,51,48,41,26,37,72,21,11,28,40,23
2017-04,24,53,13,7,10,31,18,7,0,5,48,41,33,47,41,84,30,19,23,34,25
2017-05,8,52,9,4,7,27,54,7,6,0,32,33,30,31,25,63,17,5,17,36,20
2017-06,9,38,11,3,5,18,14,4,0,0,18,23,22,23,18,34,16,10,9,13,9
2017-07,6,34,10,25,26,36,33,23,7,74,30,36,31,28,21,26,16,29,48,63,48
2017-08,16,27,6,5,5,11,9,5,6,0,17,26,21,15,18,32,17,9,4,12,8
2017-09,4,43,10,3,6,6,23,4,6,0,13,19,17,15,14,52,14,9,10,19,10
2017-10,16,38,2,4,5,13,22,5,9,10,18,22,18,25,17,43,19,4,16,32,17
2017-11,15,46,10,3,6,17,13,4,6,0,21,23,25,29,24,43,5,9,10,35,17
2017-12,8,24,9,3,6,21,35,4,6,0,11,11,11,7,8,56,9,11,12,36,12
2018-01,5,23,11,2,3,12,16,2,11,0,20,25,19,18,16,94,11,9,7,14,14
2018-02,6,28,6,2,4,25,32,4,0,0,22,24,19,19,24,19,14,12,14,18,10
2018-03,12,48,10,2,4,19,20,4,6,0,25,27,29,29,28,69,15,17,13,30,15
2018-04,17,35,7,2,4,33,42,4,6,0,32,38,24,34,29,48,22,9,13,34,10
2018-05,8,70,12,2,4,20,29,3,6,0,39,44,47,34,40,77,17,9,12,36,16
2018-06,13,37,6,1,2,5,17,2,0,0,15,17,20,25,20,48,6,4,3,6,5
2018-07,3,11,5,1,1,7,12,2,0,0,15,15,15,16,12,0,5,0,6,8,6
2018-08,15,40,9,1,2,14,8,3,0,5,37,29,19,26,29,82,17,9,7,19,7
2018-09,10,53,8,1,2,19,21,2,0,0,36,33,32,31,30,53,16,17,7,22,7
2018-10,0,50,12,1,2,0,30,1,21,0,25,20,32,19,21,88,8,16,6,0,8
