Month,coral: (Worldwide),reef: (Worldwide),coral reef: (Worldwide),reef diving: (Worldwide),reef scuba: (Worldwide),why are coral reefs important: (Worldwide),coral reef fish: (Worldwide),coral reef habitat: (Worldwide),coral reef animals: (Worldwide),what are coral reefs: (Worldwide),what is a coral reef: (Worldwide),what are corals: (Worldwide),what is a coral: (Worldwide),types of coral reefs: (Worldwide),where are coral reefs found: (Worldwide),coral reef ecosystem: (Worldwide),what is a coral reef ecosystem: (Worldwide)
2004-01,91,84,82,100,96,0,68,100,83,30,25,35,24,16,40,54,0
2004-02,100,97,96,61,86,100,87,99,77,30,100,70,100,32,0,81,0
2004-03,100,100,92,89,71,0,100,0,55,50,31,86,47,100,100,33,0
2004-04,94,87,91,47,55,0,86,71,73,39,48,100,45,23,0,39,0
2004-05,96,87,100,61,43,62,93,81,100,100,51,58,39,20,49,100,0
2004-06,88,82,63,41,83,0,72,82,42,25,41,29,20,67,0,45,0
2004-07,86,75,51,60,100,0,31,43,11,17,22,0,17,0,0,35,0
2004-08,92,78,56,69,77,40,55,40,10,24,0,28,15,13,0,44,0
2004-09,83,71,67,66,71,37,50,37,66,60,46,0,46,18,0,40,0
2004-10,83,70,74,48,47,0,59,75,58,62,19,0,18,43,46,72,0
2004-11,81,65,76,54,44,38,86,38,63,31,47,26,50,12,61,41,0
2004-12,76,61,61,39,44,0,43,69,31,35,53,25,27,11,56,38,0
2005-01,88,78,75,54,56,30,61,46,51,37,38,64,26,20,24,50,0
2005-02,90,92,73,55,59,32,69,32,70,46,40,0,40,21,0,52,0
2005-03,95,88,76,65,62,55,56,81,55,77,68,19,52,53,22,29,0
2005-04,93,78,74,56,62,31,67,45,82,62,69,21,55,30,25,25,0
2005-05,96,86,79,72,56,27,73,53,99,97,73,19,46,35,21,86,0
2005-06,89,79,55,42,41,0,52,53,45,16,47,19,13,31,22,36,0
2005-07,88,78,49,55,47,0,28,95,28,11,14,0,21,18,0,60,0
2005-08,85,75,51,48,50,0,31,26,17,11,20,37,13,21,21,57,0
2005-09,80,63,61,54,55,24,56,24,43,29,42,0,23,8,0,45,0
2005-10,82,66,64,38,48,23,72,22,72,46,40,16,41,11,0,85,0
2005-11,79,64,61,46,56,23,64,67,60,59,45,16,47,15,36,54,0
2005-12,72,55,50,45,40,0,24,86,45,31,22,15,21,25,26,24,0
2006-01,83,70,61,58,48,0,38,77,54,47,39,14,15,13,31,26,0
2006-02,84,72,62,62,40,0,26,20,56,32,45,21,25,26,16,54,0
2006-03,87,69,64,47,45,34,48,34,56,34,30,12,24,22,20,46,0
2006-04,88,70,58,47,39,37,51,64,68,34,32,26,35,30,44,40,0
2006-05,87,71,68,40,44,17,59,67,58,44,76,24,40,27,14,64,0
2006-06,82,71,45,45,56,0,33,53,29,29,26,12,29,9,28,48,0
2006-07,80,72,41,33,64,18,19,0,16,21,9,0,10,6,14,19,0
2006-08,80,66,42,48,69,16,20,65,13,27,16,11,9,11,0,18,0
2006-09,76,61,47,42,34,0,27,39,26,19,27,11,24,18,0,21,0
2006-10,77,55,52,36,33,29,41,57,46,32,43,10,25,19,34,54,0
2006-11,77,55,54,42,44,42,34,48,53,34,31,10,24,18,11,49,65
2006-12,74,49,42,21,27,14,27,28,37,23,21,35,19,9,11,15,0
2007-01,81,61,49,44,37,31,32,25,16,23,22,9,25,18,10,47,59
2007-02,82,63,52,42,33,46,37,19,27,27,26,14,20,15,0,28,61
2007-03,84,61,53,40,41,40,30,28,48,35,37,0,32,13,0,19,53
2007-04,86,61,51,45,31,36,36,54,35,29,33,17,29,21,10,49,0
2007-05,86,64,56,37,59,26,38,36,57,40,41,18,29,20,12,59,0
2007-06,80,61,37,47,40,11,26,16,21,20,13,15,22,7,9,32,100
2007-07,77,60,36,35,45,0,18,10,12,6,5,15,9,5,0,22,0
2007-08,82,57,41,29,33,0,32,20,9,8,5,21,10,13,16,24,47
2007-09,79,53,45,40,27,10,33,19,26,6,27,10,28,19,12,32,0
2007-10,78,53,51,33,37,17,37,26,39,39,22,18,25,18,7,45,0
2007-11,75,50,43,27,31,17,43,29,31,34,19,18,18,16,0,23,0
2007-12,73,47,36,33,37,14,30,23,24,18,18,10,23,10,7,15,0
2008-01,81,54,44,47,39,32,36,32,26,29,26,11,26,19,13,19,37
2008-02,83,54,49,44,26,8,35,24,36,28,22,11,27,15,26,13,0
2008-03,87,55,48,43,38,15,35,38,34,30,36,13,27,7,6,42,0
2008-04,90,56,49,34,45,26,51,34,44,46,30,16,26,25,18,33,35
2008-05,85,58,49,35,32,11,43,33,36,33,35,21,35,21,12,36,0
2008-06,80,55,37,38,38,23,29,15,19,26,6,11,19,11,12,10,0
2008-07,80,54,35,26,24,7,18,11,10,17,13,16,16,8,6,8,0
2008-08,78,51,38,29,35,7,18,11,15,15,15,18,16,9,9,24,0
2008-09,74,48,39,34,38,7,30,38,24,34,35,5,19,8,11,21,32
2008-10,73,47,45,33,34,31,32,43,41,43,30,20,37,18,15,36,29
2008-11,70,45,41,28,33,7,35,23,39,49,33,28,29,24,32,41,0
2008-12,68,44,35,25,32,20,23,23,29,29,20,11,31,14,8,23,30
2009-01,77,62,40,35,37,21,29,21,35,29,24,13,27,13,12,23,0
2009-02,79,53,47,26,29,9,31,25,37,41,46,13,29,13,13,46,0
2009-03,84,54,49,33,29,17,40,19,38,44,43,23,35,19,7,35,0
2009-04,83,53,48,33,24,9,33,34,35,52,33,18,38,12,9,45,0
2009-05,82,55,48,30,33,14,37,27,46,38,37,31,40,23,18,36,0
2009-06,76,51,38,33,25,22,31,27,23,27,30,6,28,18,17,37,26
2009-07,77,52,34,28,29,0,24,8,14,15,4,15,16,4,4,13,0
2009-08,78,50,38,29,31,5,18,14,16,14,25,8,26,9,13,15,26
2009-09,76,45,39,31,22,15,28,25,28,32,37,20,44,9,6,19,72
2009-10,73,44,41,30,25,31,32,21,38,47,36,27,37,16,15,40,23
2009-11,71,44,41,28,30,24,30,24,36,50,30,32,44,14,21,46,45
2009-12,66,39,33,22,27,22,25,10,28,34,31,35,27,16,10,35,23
2010-01,76,48,39,30,30,18,27,33,27,39,25,11,31,12,20,24,21
2010-02,78,48,43,21,26,19,35,28,38,48,26,18,36,20,13,36,22
2010-03,82,50,45,28,33,34,36,27,42,62,48,29,48,18,15,41,19
2010-04,82,54,48,25,30,31,33,24,54,81,52,31,52,24,21,49,0
2010-05,80,50,44,28,27,24,36,24,52,63,45,24,51,28,21,54,31
2010-06,76,47,35,30,21,16,20,26,21,22,21,6,31,10,7,28,21
2010-07,79,48,33,30,29,4,13,6,12,11,10,10,29,6,7,19,20
2010-08,76,48,38,31,24,4,15,10,11,15,21,14,24,7,6,16,19
2010-09,72,41,36,26,26,21,23,29,25,47,30,22,32,8,15,20,0
2010-10,73,41,36,27,28,24,25,27,32,40,42,30,42,13,12,25,52
2010-11,76,44,34,22,28,18,20,25,31,50,42,33,47,13,17,29,17
2010-12,74,40,27,20,17,11,19,14,19,33,21,20,30,15,12,26,17
2011-01,80,46,34,29,25,27,21,13,20,36,38,23,40,8,16,30,23
2011-02,77,48,36,23,22,19,22,19,20,42,35,23,41,14,13,24,16
2011-03,81,46,37,23,26,38,28,23,36,53,42,34,51,12,13,36,22
2011-04,87,44,37,23,25,25,25,23,22,47,41,29,55,14,9,27,39
2011-05,82,47,39,26,28,28,26,31,43,65,46,37,57,17,16,33,22
2011-06,82,48,32,27,25,19,20,6,12,33,25,18,33,14,8,24,45
2011-07,81,45,30,22,26,10,16,8,8,23,14,27,26,6,3,37,15
2011-08,82,45,31,22,21,9,16,5,13,24,17,12,33,4,2,15,14
2011-09,76,41,33,22,25,31,25,13,21,40,29,26,40,13,17,31,28
2011-10,75,40,35,23,24,25,26,23,26,48,36,18,38,12,13,25,20
2011-11,73,40,33,20,16,41,25,19,22,73,37,25,45,18,21,33,53
2011-12,73,39,30,18,19,33,20,15,15,33,26,23,38,10,6,18,0
2012-01,78,46,35,27,25,18,21,19,19,41,39,23,39,11,9,20,30
2012-02,80,44,36,25,22,23,33,24,25,55,33,23,49,12,15,37,50
2012-03,83,45,36,26,22,25,24,22,26,55,51,38,57,17,15,34,12
2012-04,86,43,38,23,24,37,27,25,26,56,43,31,59,15,11,25,18
2012-05,83,45,37,24,25,37,32,22,31,70,72,34,67,21,20,36,29
2012-06,81,44,30,19,22,14,18,9,16,24,28,16,34,7,7,19,35
2012-07,83,45,29,25,22,4,16,9,9,11,10,16,28,5,5,21,17
2012-08,81,43,32,26,22,17,18,11,8,20,24,27,40,8,4,25,34
2012-09,79,44,35,23,26,25,27,12,19,57,45,25,47,12,15,36,29
2012-10,75,39,33,19,17,27,22,19,21,50,39,34,50,13,11,39,42
2012-11,71,38,29,19,21,42,27,18,21,50,34,24,48,19,14,37,10
2012-12,71,36,26,20,15,22,19,11,16,31,33,20,42,8,7,19,10
2013-01,78,44,32,22,23,21,20,9,21,40,32,25,50,8,13,29,24
2013-02,81,45,36,22,22,29,23,14,24,56,52,37,54,17,17,33,36
2013-03,90,45,36,23,22,28,24,18,25,42,46,33,57,14,23,20,14
2013-04,90,44,38,22,20,28,28,20,29,66,62,37,60,15,16,36,38
2013-05,90,44,39,23,20,34,32,26,32,59,47,31,62,17,13,29,41
2013-06,85,44,29,22,21,9,19,21,15,25,23,19,37,7,6,21,19
2013-07,86,46,28,24,23,14,17,8,12,17,14,14,30,6,3,11,0
2013-08,84,43,30,21,24,8,18,11,7,25,20,15,36,7,4,15,19
2013-09,77,38,32,18,19,20,22,21,22,49,52,29,50,13,13,35,23
2013-10,74,36,33,20,18,26,25,18,28,50,42,28,52,11,18,41,35
2013-11,75,38,30,19,19,23,25,18,26,55,52,33,50,19,15,28,48
2013-12,74,36,25,19,22,19,19,19,19,34,31,26,37,7,8,23,17
2014-01,82,40,31,24,20,14,20,17,14,31,33,22,45,8,10,23,33
2014-02,84,43,34,19,18,28,24,19,22,53,46,29,58,15,17,34,40
2014-03,90,43,36,21,22,32,27,19,25,47,53,33,62,17,18,29,40
2014-04,93,41,35,21,19,22,24,20,26,58,42,35,64,15,17,28,46
2014-05,88,42,35,22,20,33,31,26,39,65,61,38,69,14,20,40,50
2014-06,89,41,28,19,20,9,20,9,11,27,30,19,40,10,6,20,19
2014-07,88,42,27,22,20,10,15,3,7,18,13,16,28,6,3,11,18
2014-08,85,40,30,22,17,15,15,6,9,21,21,16,32,5,5,18,9
2014-09,80,37,30,23,17,25,21,16,17,51,32,26,50,14,7,28,17
2014-10,78,35,31,19,17,27,24,27,27,53,44,36,53,12,10,40,21
2014-11,76,36,28,20,19,41,21,25,22,47,43,30,51,16,9,33,30
2014-12,75,34,26,18,19,28,19,12,21,35,37,21,44,9,9,24,38
2015-01,82,37,30,23,22,18,23,12,19,38,41,26,51,11,8,32,23
2015-02,87,38,32,20,19,27,26,14,26,52,54,28,58,13,10,36,38
2015-03,91,40,34,22,17,24,25,17,25,58,52,37,62,18,16,43,50
2015-04,99,40,36,21,21,38,27,22,31,48,47,32,70,13,13,37,20
2015-05,90,40,36,21,22,32,30,28,36,63,63,31,68,17,14,40,35
2015-06,89,39,30,21,20,12,20,8,14,24,34,16,49,7,3,12,20
2015-07,87,41,27,23,20,6,16,11,9,16,14,13,30,5,3,9,8
2015-08,89,39,29,20,20,14,16,5,8,24,20,16,42,8,3,23,23
2015-09,80,35,30,17,17,20,22,16,22,39,42,27,53,10,14,33,26
2015-10,82,35,30,18,17,32,25,25,28,53,48,35,60,14,8,42,35
2015-11,82,35,29,19,19,25,23,23,28,56,54,31,62,14,11,37,58
2015-12,81,35,27,19,20,28,21,12,19,39,35,27,50,11,9,26,18
2016-01,91,39,32,27,21,20,20,14,18,38,31,27,46,11,8,29,15
2016-02,92,38,33,22,20,27,27,20,25,52,46,30,53,16,9,47,39
2016-03,98,41,35,23,23,30,29,29,28,54,49,37,62,13,16,37,36
2016-04,98,40,38,22,24,41,31,24,27,69,58,36,73,16,15,41,53
2016-05,94,41,38,25,22,25,33,23,35,58,51,41,64,15,7,37,37
2016-06,93,40,29,22,22,7,22,10,11,25,26,17,42,8,6,16,23
2016-07,90,39,25,22,19,4,15,6,5,15,8,14,24,5,1,18,8
2016-08,86,37,24,19,16,10,15,7,8,18,17,13,32,4,3,13,0
2016-09,84,35,29,18,19,15,20,15,19,32,36,30,44,11,14,36,27
2016-10,83,51,35,20,15,22,24,20,30,52,50,36,57,11,10,33,26
2016-11,81,36,32,20,21,32,24,21,28,60,45,37,46,13,13,33,30
2016-12,83,35,27,17,19,26,19,14,18,39,31,31,43,7,9,22,15
2017-01,87,38,32,23,22,18,25,15,22,42,38,32,48,13,14,34,42
2017-02,88,38,36,22,21,29,26,19,27,53,45,39,62,12,16,35,26
2017-03,91,42,39,21,20,30,29,22,31,61,60,43,73,12,15,41,36
2017-04,95,40,39,20,22,24,32,29,31,60,54,37,62,14,10,40,46
2017-05,90,39,38,21,20,28,33,24,38,67,60,38,68,13,19,38,67
2017-06,88,39,29,18,20,17,20,12,11,31,25,18,34,5,7,11,26
2017-07,87,43,30,21,23,8,17,6,7,15,17,17,31,3,4,10,7
2017-08,88,37,28,17,19,14,17,11,11,18,21,15,36,5,5,15,7
2017-09,92,36,33,19,18,20,19,9,18,31,28,23,56,7,13,29,32
2017-10,82,34,37,20,20,32,25,19,24,56,45,31,63,12,17,35,34
2017-11,78,35,34,19,18,32,28,24,31,64,61,34,61,14,16,41,62
2017-12,77,33,28,18,18,24,19,15,19,45,36,27,48,8,11,30,21
2018-01,81,37,35,23,21,26,23,16,24,39,41,26,48,8,12,29,23
2018-02,89,37,36,22,20,30,24,16,26,65,46,47,61,12,13,43,50
2018-03,89,38,37,20,24,39,28,20,28,68,56,46,63,17,21,37,41
2018-04,91,40,41,19,19,39,29,34,37,67,58,54,72,13,16,39,50
2018-05,90,39,42,20,22,36,29,30,37,76,63,45,71,15,21,52,39
2018-06,86,37,30,18,19,9,17,17,15,25,28,22,38,7,6,19,13
2018-07,84,38,28,18,19,6,14,10,8,17,15,18,29,3,3,10,6
2018-08,85,39,33,21,22,12,17,5,13,20,27,15,41,6,4,14,13
2018-09,78,35,31,19,19,15,23,18,19,43,44,30,50,9,12,38,36
2018-10,75,33,33,16,15,34,23,18,26,40,44,29,64,10,6,33,0
