Month,What are the florida keys: (Worldwide),florida keys reefs: (Worldwide),florida keys scuba: (Worldwide),scuba diving in florida keys: (Worldwide),florida keys coral reef: (Worldwide),florida keys diving: (Worldwide)
2004-01,0,44,57,100,0,100
2004-02,31,44,73,25,81,50
2004-03,39,55,100,30,100,88
2004-04,0,0,39,24,38,81
2004-05,26,0,47,0,33,41
2004-06,0,37,54,21,33,77
2004-07,0,0,35,0,0,37
2004-08,0,0,39,20,32,63
2004-09,0,49,24,0,30,37
2004-10,0,100,31,19,61,32
2004-11,24,33,25,0,31,32
2004-12,0,46,57,17,28,30
2005-01,0,54,55,15,25,48
2005-02,20,0,32,16,39,32
2005-03,17,96,44,13,22,43
2005-04,0,41,45,15,25,52
2005-05,17,47,22,0,32,72
2005-06,0,47,57,0,43,61
2005-07,17,48,27,20,0,39
2005-08,0,0,26,26,0,52
2005-09,15,21,31,12,39,34
2005-10,14,50,18,0,46,6
2005-11,0,30,36,17,18,42
2005-12,0,19,28,0,35,44
2006-01,24,17,41,0,47,25
2006-02,0,0,29,10,32,51
2006-03,21,30,19,17,13,41
2006-04,12,49,33,0,30,53
2006-05,0,30,30,0,14,22
2006-06,11,16,17,9,43,38
2006-07,0,31,29,9,14,48
2006-08,10,14,35,8,13,28
2006-09,0,21,23,0,25,18
2006-10,9,0,9,7,17,24
2006-11,0,12,25,7,22,24
2006-12,0,0,30,7,0,29
2007-01,0,11,20,6,25,16
2007-02,0,17,38,6,21,21
2007-03,7,0,33,9,0,31
2007-04,15,16,25,6,24,31
2007-05,6,23,18,5,13,25
2007-06,0,10,19,8,18,23
2007-07,0,19,19,5,17,43
2007-08,0,9,20,5,16,24
2007-09,9,9,11,5,8,18
2007-10,11,15,17,0,14,20
2007-11,10,26,16,8,17,13
2007-12,6,8,12,9,11,25
2008-01,5,11,10,4,16,27
2008-02,5,21,20,10,26,28
2008-03,5,14,19,6,9,31
2008-04,5,7,20,9,9,14
2008-05,5,17,21,7,12,25
2008-06,5,17,22,15,12,19
2008-07,9,10,24,11,24,27
2008-08,5,17,15,6,21,16
2008-09,6,18,16,5,14,17
2008-10,8,6,15,6,20,18
2008-11,14,14,11,0,5,14
2008-12,4,9,13,10,27,13
2009-01,7,13,17,3,19,26
2009-02,4,8,20,16,15,27
2009-03,3,15,14,4,27,15
2009-04,4,20,20,4,33,24
2009-05,7,15,14,3,25,13
2009-06,5,24,13,8,18,19
2009-07,10,10,16,3,9,16
2009-08,34,10,15,5,15,29
2009-09,27,7,10,5,12,18
2009-10,12,17,15,2,14,12
2009-11,21,23,9,5,18,14
2009-12,16,8,11,2,8,11
2010-01,19,8,17,8,7,20
2010-02,16,12,16,5,15,14
2010-03,24,26,18,11,8,14
2010-04,15,10,14,3,18,17
2010-05,8,13,13,4,16,16
2010-06,17,14,14,4,11,9
2010-07,5,7,13,6,7,14
2010-08,5,11,14,5,11,20
2010-09,7,3,8,4,14,12
2010-10,9,3,5,4,15,13
2010-11,17,6,9,5,9,13
2010-12,11,8,8,2,13,8
2011-01,9,6,12,3,18,18
2011-02,4,9,13,10,11,20
2011-03,9,10,9,5,28,16
2011-04,14,6,8,3,10,15
2011-05,21,11,7,2,11,10
2011-06,14,7,13,7,9,15
2011-07,12,8,11,6,9,22
2011-08,9,8,13,6,6,15
2011-09,5,3,7,3,6,9
2011-10,6,7,9,2,10,9
2011-11,12,9,5,3,7,13
2011-12,18,9,6,4,8,10
2012-01,12,9,9,3,5,13
2012-02,11,7,10,5,10,14
2012-03,15,8,9,2,17,12
2012-04,19,15,10,5,10,14
2012-05,20,5,12,2,8,13
2012-06,12,10,11,6,4,15
2012-07,12,9,11,1,10,17
2012-08,11,8,12,4,5,11
2012-09,10,10,7,5,9,10
2012-10,13,7,8,5,13,10
2012-11,8,6,5,1,11,6
2012-12,10,6,6,2,11,13
2013-01,15,10,11,3,8,14
2013-02,11,3,9,4,9,9
2013-03,12,5,10,5,13,14
2013-04,12,9,8,5,12,10
2013-05,14,15,10,4,10,13
2013-06,8,4,10,6,9,13
2013-07,16,8,8,5,6,14
2013-08,9,7,10,3,8,13
2013-09,13,6,9,5,6,10
2013-10,12,6,6,4,12,11
2013-11,8,7,8,5,6,11
2013-12,10,10,5,4,5,8
2014-01,15,5,10,2,11,11
2014-02,15,8,7,3,9,9
2014-03,14,7,9,3,14,12
2014-04,8,9,8,4,11,9
2014-05,17,5,6,4,11,7
2014-06,14,6,7,6,8,10
2014-07,8,8,6,2,8,13
2014-08,11,7,6,3,10,12
2014-09,7,5,7,2,6,10
2014-10,14,5,6,3,9,9
2014-11,12,8,9,5,9,11
2014-12,11,6,6,1,10,8
2015-01,20,6,8,5,8,11
2015-02,17,4,7,4,9,7
2015-03,20,12,10,5,11,14
2015-04,16,11,11,3,10,11
2015-05,12,6,9,3,13,13
2015-06,16,5,7,5,9,12
2015-07,16,5,7,3,5,15
2015-08,17,4,9,3,7,13
2015-09,10,3,5,2,9,8
2015-10,11,3,4,1,13,7
2015-11,15,4,5,3,9,7
2015-12,14,5,7,2,9,7
2016-01,12,11,7,4,12,13
2016-02,15,8,6,2,14,12
2016-03,14,5,10,5,12,10
2016-04,12,6,6,3,12,9
2016-05,8,13,7,5,11,11
2016-06,13,7,6,2,5,9
2016-07,12,7,7,3,10,11
2016-08,10,4,4,2,3,9
2016-09,10,9,7,1,5,9
2016-10,6,5,5,3,6,5
2016-11,7,4,3,2,6,6
2016-12,10,5,7,3,11,7
2017-01,16,5,8,4,11,13
2017-02,11,9,10,3,12,12
2017-03,14,5,8,3,13,10
2017-04,8,9,9,3,11,8
2017-05,12,9,9,4,12,9
2017-06,10,6,7,3,10,9
2017-07,16,8,6,3,11,12
2017-08,13,7,7,3,10,9
2017-09,100,3,4,2,7,6
2017-10,13,4,4,3,8,6
2017-11,10,7,3,3,5,4
2017-12,6,7,6,4,5,7
2018-01,18,2,7,2,6,6
2018-02,13,7,8,2,10,9
2018-03,13,7,5,2,10,7
2018-04,15,9,8,3,12,9
2018-05,13,10,7,3,12,7
2018-06,11,9,4,4,11,7
2018-07,12,6,9,4,8,11
2018-08,12,5,7,3,9,7
2018-09,10,5,5,2,6,7
2018-10,11,9,7,3,8,5
